num,year,title,publisher,mother company,is Global 50,year merged to Global 50
989,2011,TheGirlWhoPlayedwithFireMillenniumSeries,Vintage Crime/Black Lizard,Random House,O,
990,2011,HungryGirl300Under300300Breakfast,St. Martin's Griffin,Holtzbrinck,O,
991,2011,TheAlchemist,HarperOne,HarperCollins,O,
992,2011,GettingThingsDoneTheArtofStress-Free,Penguin Books,Pearson,O,
993,2011,TheInventionofHugoCabret,Scholastic Press,Scholastic (corp.),X,
994,2011,NowDiscoverYourStrengths,Gallup Press,Gallup Press,X,
995,2011,DriveTheSurprisingTruthAboutWhat,Riverhead Books ,Pearson,O,
996,2011,Smokin'SeventeenStephaniePlum,Bantam,Random House,O,
998,2011,TheBigShortInsidetheDoomsdayMachine,W. W. Norton & Company,W. W. Norton & Company,X,
999,2011,BorntoRunAHiddenTribeSuperathletesand,Vintage,Random House,O,
1000,2011,TheOfficialGuideforGMATReview,Wiley,Wiley,O,
