214,2018,The5LoveLanguagesTheSecrettoLovethat…,Northfield Publishing
215,2018,First100Words,Priddy Books US
216,2018,DogManLordoftheFleasFromtheCreatorof…,Graphix
217,2018,EducatedAMemoir,Random House
218,2018,YouAreaBadassHowtoStopDoubtingYour…,Running Press Adult
219,2018,ThePlantParadoxTheHiddenDangersin…,Tantor Audio
220,2018,GiraffesCan'tDance,Cartwheel Books
221,2018,Player'sHandbookDungeons&Dragons,Wizards of the Coast
222,2018,HomebodyAGuidetoCreatingSpacesYou…,Harper Design
223,2018,TheVeryHungryCaterpillar,World of Eric Carle 
224,2018,CrazyRichAsiansCrazyRichAsiansTrilogy,Anchor 
225,2018,TheHateUGive,Balzer + Bray
226,2018,TheInstantPotElectricPressureCooker…,Rockridge Press 
227,2018,TheFourAgreementsAPracticalGuideto…,Amber-Allen Publishing Incorporated 
228,2018,TheWonderfulThingsYouWillBe,Random House Books for Young Readers
229,2018,PisforPottySesameStreetLift-the-Flap,Random House Books for Young Readers
230,2018,ThePout-PoutFish,Farrar Straus and Giroux 
231,2018,LetteringandModernCalligraphyABeginner's…,June & Lucy 
232,2018,PublicationManualoftheAmerican…,American Psychological Association
233,2018,DearZooALift-the-FlapBook,Little Simon
234,2018,OhthePlacesYou'llGo  ,Random House Books for Young Readers 
235,2018,DogManandCatKidFromtheCreatorof…,Graphix 
236,2018,GoodnightMoon,HarperCollins
237,2018,SaltFatAcidHeatMasteringtheElementsof…,Simon and Schuster
238,2018,AWrinkleinTimeTimeQuintet,Square Fish
239,2018,HowtoWinFriends&InfluencePeople,Pocket Books 
240,2018,DogManBrawloftheWildFromtheCreatorof…,Graphix
241,2018,InstantPotPressureCookerCookbook500…,Independently published 
242,2018,MilkandHoney,Andrews McMeel Publishing
243,2018,LittleFiresEverywhere,Penguin Books
244,2018,KitchenConfidentialUpdatedEdition…,Ecco
245,2018,ThePresidentIsMissing,Grand Central Publishing
246,2018,SchoolZone-BigPreschoolWorkbook-Ages4…,School Zone Publishing
247,2018,ThePlantParadoxCookbook100Delicious…,Harper Wave
248,2018,ReadyPlayerOne,Ballantine Books
249,2018,Fahrenheit451,Simon & Schuster
250,2018,ShipofFoolsHowaSelfishRulingClassIs…,Thorndike Press Large Print
251,2018,TheAlchemist25thAnniversaryAFableAbout…,HarperOne
252,2018,Wonder,Knopf Books for Young Readers
253,2018,ToKillaMockingbird,Harper Perennial 
254,2018,TheWhole30The30-DayGuidetoTotalHealth…,Houghton Mifflin Harcourt
255,2018,TheKetoDietTheCompleteGuidetoaHigh-Fat…,Victory Belt Publishing
256,2018,EverybodyAlwaysBecomingLoveinaWorld…,Thomas Nelson
257,2018,BeforeWeWereYours,Ballantine Books 
258,2018,TheReckoning,Dell 
259,2018,BrownBearBrownBearWhatDoYouSee,Henry Holt and Co. (BYR)
260,2018,BeneathaScarletSky,Lake Union Publishing
261,2018,WhattoExpectWhenYou'reExpecting,Workman Publishing Company
262,2018,PrinciplesLifeandWork,Simon & Schuster
263,2018,AstrophysicsforPeopleinaHurry,W. W. Norton & Company
264,2018,Laugh-Out-LoudJokesforKids,Revell 
265,2018,MedicalMediumLiverRescueAnswersto…,Hay House Inc.
266,2018,TheOfficialSATStudyGuide2018Edition…,College Board
267,2018,CalmtheF*ckDownAnIrreverentAdult…,CreateSpace Independent Publishing Platform
268,2018,TheCareandKeepingofYouTheBodyBookfor…,American Girl
269,2018,TheOutsider,Scribner
270,2018,WheretheCrawdadsSing,G.P. Putnam's Sons
271,2018,Dungeons&DragonsDungeonMaster'sGuide…,Wizards of the Coast 
272,2018,SapiensABriefHistoryofHumankind,Harper Perennial
