Rank,Year,Title,Genre,Year_Rank,Note,,,,,,,,,,,,,,,,,,,,
113,2019,The Subtle Art of Not Giving a F*ck: A…,Business&SelfHelp,2019_13,,,,,,,,,,,,,,,,,,,,,
114,2019,Difficult Riddles For Smart Kids: 300 Difficult…,Children'sBooks,2019_14,,,,,,,,,,,,,,,,,,,,,
115,2019,"Salt, Fat, Acid, Heat: Mastering the Elements of…","Cookbooks,Food&Wine",2019_15,,,,,,,,,,,,,,,,,,,,,
116,2019,The Very Hungry Caterpillar,Children'sBooks,2019_16,,,,,,,,,,,,,,,,,,,,,
117,2019,What Should Danny Do? (The Power to Choose…,Children'sBooks,2019_17,,,,,,,,,,,,,,,,,,,,,
118,2019,It's Not Supposed to Be This Way: Finding…,Religion&Spirituality,2019_18,,,,,,,,,,,,,,,,,,,,,
119,2019,"I Am Confident, Brave & Beautiful: A Coloring…",Children'sBooks,2019_19,,,,,,,,,,,,,,,,,,,,,
120,2019,The Four Agreements: A Practical Guide to…,Religion&Spirituality,2019_20,,,,,,,,,,,,,,,,,,,,,
121,2019,Unfreedom of the Press,Politics&SocialSciences,2019_21,,,,,,,,,,,,,,,,,,,,,
122,2019,Dog Man: Brawl of the Wild: From the Creator of…,Children'sBooks,2019_22,,,,,,,,,,,,,,,,,,,,,
123,2019,Giraffes Can't Dance,Children'sBooks,2019_23,,,,,,,,,,,,,,,,,,,,,
124,2019,If Animals Kissed Good Night,Children'sBooks,2019_24,,,,,,,,,,,,,,,,,,,,,
125,2019,"Oh, the Places You'll Go!  ",Children'sBooks,2019_25,,,,,,,,,,,,,,,,,,,,,
126,2019,Howard Stern Comes Again,Biographies&Memoirs,2019_26,,,,,,,,,,,,,,,,,,,,,
127,2019,Guts,Children'sBooks,2019_27,,,,,,,,,,,,,,,,,,,,,
128,2019,The Life-Changing Magic of Tidying Up: The…,CraftsHobbies&Home,2019_28,,,,,,,,,,,,,,,,,,,,,
129,2019,Harry Potter and the Goblet of Fire: The…,Teen&Youngadult,2019_29,,,,,,,,,,,,,,,,,,,,,
130,2019,National Geographic Little Kids First Big Book of…,Children'sBooks,2019_30,,,,,,,,,,,,,,,,,,,,,
131,2019,Instant Pot Pressure Cooker Cookbook: 500…,"Cookbooks,Food&Wine",2019_31,,,,,,,,,,,,,,,,,,,,,
132,2019,"The Body Keeps the Score: Brain, Mind, and Body…",MedicalBooks,2019_32,,,,,,,,,,,,,,,,,,,,,
133,2019,Good Days Start With Gratitude: A 52 Week…,Business&SelfHelp,2019_33,,,,,,,,,,,,,,,,,,,,,
134,2019,Goodnight Moon,Children'sBooks,2019_34,,,,,,,,,,,,,,,,,,,,,
135,2019,The Complete Ketogenic Diet for Beginners: Your…,"Cookbooks,Food&Wine",2019_35,,,,,,,,,,,,,,,,,,,,,
136,2019,Unicorn Coloring Book: For Kids Ages 4-8 (US…,Children'sBooks,2019_36,,,,,,,,,,,,,,,,,,,,,
137,2019,Strange Planet (Strange Planet Series),Literature&Fiction,2019_37,,,,,,,,,,,,,,,,,,,,,
138,2019,Player's Handbook (Dungeons & Dragons),Literature&Fiction,2019_38,,,,,,,,,,,,,,,,,,,,,
139,2019,The Silent Patient,Literature&Fiction,2019_39,,,,,,,,,,,,,,,,,,,,,
140,2019,"5,000 Awesome Facts (About Everything!)…",Children'sBooks,2019_40,,,,,,,,,,,,,,,,,,,,,
141,2019,To Kill a Mockingbird,Teen&Youngadult,2019_41,,,,,,,,,,,,,,,,,,,,,
142,2019,You Are a Badass: How to Stop Doubting Your…,Business&SelfHelp,2019_42,,,,,,,,,,,,,,,,,,,,,
143,2019,"National Geographic Kids Why?: Over 1,111…",Children'sBooks,2019_43,,,,,,,,,,,,,,,,,,,,,
144,2019,Can't Hurt Me: Master Your Mind and Defy the…,Religion&Spirituality,2019_44,,,,,,,,,,,,,,,,,,,,,
145,2019,The Guardians,Literature&Fiction,2019_45,,,,,,,,,,,,,,,,,,,,,
146,2019,P is for Potty! (Sesame Street) (Lift-the-Flap),Children'sBooks,2019_46,,,,,,,,,,,,,,,,,,,,,
147,2019,The Total Money Makeover: Classic Edition: A…,Business&SelfHelp,2019_47,,,,,,,,,,,,,,,,,,,,,
148,2019,"Brown Bear, Brown Bear, What Do You See?",Children'sBooks,2019_48,,,,,,,,,,,,,,,,,,,,,
149,2019,The Unofficial Harry Potter Cookbook: From…,"Cookbooks,Food&Wine",2019_49,,,,,,,,,,,,,,,,,,,,,
150,2019,The Mueller Report,Politics&SocialSciences,2019_50,,,,,,,,,,,,,,,,,,,,,
151,2019,Zen as F*ck (Zen as F*ck Journals),Business&SelfHelp,2019_51,,,,,,,,,,,,,,,,,,,,,
152,2019,Rich Dad Poor Dad: What the Rich Teach Their…,Business&SelfHelp,2019_52,,,,,,,,,,,,,,,,,,,,,
153,2019,The Institute,Literature&Fiction,2019_53,,,,,,,,,,,,,,,,,,,,,
154,2019,The Testaments: The Sequel to The Handmaid's…,Literature&Fiction,2019_54,,,,,,,,,,,,,,,,,,,,,
155,2019,Super Deluxe Essential Handbook (Pokémon):…,Children'sBooks,2019_55,,,,,,,,,,,,,,,,,,,,,
156,2019,Lettering and Modern Calligraphy: A Beginner's…,Business&SelfHelp,2019_56,,,,,,,,,,,,,,,,,,,,,
157,2019,Carson Dellosa | First Words Flash Cards |…,Children'sBooks,2019_57,,,,,,,,,,,,,,,,,,,,,
158,2019,Atomic Habits: An Easy & Proven Way to Build…,Business&SelfHelp,2019_58,,,,,,,,,,,,,,,,,,,,,
159,2019,Make Your Bed: Little Things That Can Change…,Business&SelfHelp,2019_59,,,,,,,,,,,,,,,,,,,,,
160,2019,The Gifts of Imperfection: Let Go of Who You…,Religion&Spirituality,2019_60,,,,,,,,,,,,,,,,,,,,,
