BestsellerFic,Genre,GenreBin,Title,Author,Published Year,Publisher,Page,Price,authorgender(male0fe1team2),isFirstBestSeller,Duration,痕井穿Duration,痕井板Duration3(0=S1=L2=etc),Impact,year_rank,isGlobal50 of first year(False=0True=1)
2011,Literature&Fiction,6,The Paris Wife,Paula McLain,2011,Ballantine Books ,331,17,1,1,1,0,0,7.67E+03,,1
2011,Literature&Fiction,6,The Art of Racing in the Rain,Garth Stein,2009,Harper Perennial,321,9.99,0,0,1,0,0,1.66E+04,,1
2011,Literature&Fiction,6,The Best of Me,Nicholas Sparks,2011,Grand Central Publishing,725,30,0,0,1,0,0,81027.65702,,1
2011,Literature&Fiction,6,The Girl with the Dragon Tattoo (Millennium・,Stieg Larsson,2008,Vintage Crime,278,9.99,0,0,3,1,1,3.26E+04,,1
2011,Teen&Youngadult,6,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,2011,Quirk Books,382,10.99,0,1,1,0,0,9.88E+03,,0
2011,Literature&Fiction,6,1Q84,Haruki Murakami,2011,Knopf,928,18,0,1,1,0,0,4.88E+04,,1
2011,Literature&Fiction,6,The Land of Painted Caves,Jean M. Auel,2011,Bantam,278,8.99,1,0,1,0,0,9.06E+03,,1
2011,Literature&Fiction,6,State of Wonder,Ann Patchett,2011,Harper,235,15.99,1,0,1,0,0,1.15E+04,,1
2011,Literature&Fiction,6,A Visit from the Goon Squad,Jennifer Egan,2011,Anchor,352,20,1,1,1,0,0,3.77E+04,,1
2011,Literature&Fiction,6,Explosive Eighteen: A Stephanie Plum Novel・,Janet Evanovich,2011,Bantam,354,8.99,1,0,1,0,0,1.10E+04,,1
2011,Teen&Youngadult,6,The Lost Hero (Heroes of Olympus Book 1),Rick Riordan,2010,Disney-Hyperion,592,1.99,0,0,1,0,0,4.34E+04,,0
2011,Literature&Fiction,6,Room,Emma Donoghue,2011,Back Bay Books,352,16.99,1,1,1,0,0,2.62E+04,,1
2011,Literature&Fiction,6,Hotel on the Corner of Bitter and Sweet,Jamie Ford,2009,Ballantine Books,301,17,0,0,1,0,0,1.79E+05,,1
2011,Literature&Fiction,6,The Girl Who Played with Fire (Millennium Series),Stieg Larsson,2009,Vintage Crime/Black Lizard,631,9.99,0,0,1,0,0,3.26E+04,,1
2011,Literature&Fiction,6,Smokin' Seventeen (Stephanie Plum),Janet Evanovich,2011,Bantam,353,8.99,1,0,1,0,0,4.81E+03,,1
